Argentina,175451.25759,5.8884164851,1.2236166603,29796,503048.74,85271,5.8994117578,1,,,,,,
Azerbaijan,667.268277778,6.1217273191,0.9870952194,109,2066.41,339,6.0956047198,1,,,,,,
Bahamas,1565.84003463,6.1647245458,1.0182736735,254,5011.13,803,6.2405105853,1,,,,,,
Bahrain,1346.69848801,6.0390066727,1.1429750426,223,4479.87,751,5.9652063915,1,,,,,,
Barbados,405.666845238,5.7952406463,1.2569646967,70,1042.81,179,5.8257541899,1,,,,,,
Belarus,5597.68525769,5.873751582,1.2258702861,953,14658.76,2473,5.9275212293,1,,,,,,
BosniaandHerz.,308.404333333,6.0471437909,1.0675935255,51,884.86,144,6.1448611111,1,,,,,,
Brazil,320518.377323,5.9764754302,1.1778010955,53630,919395.21,153478,5.9904039015,1,,,,,,
Bulgaria,353.727145022,5.9953753394,1.1570459239,59,991.98,166,5.9757831325,1,,,,Cluster1,5.9871198124,HDI2
Chile,14127.8460164,6.0272380616,1.1881102516,2344,40067.64,6645,6.0297426637,1,,,,Cluster2,6.0490955858,HDI1
CostaRica,3042.58600794,6.0609283027,1.1296821155,502,8307.04,1369,6.0679620161,1,,,,Cluster3,6.0763347562,HDI3
Croatia,475.988714286,6.3465161905,0.9733476471,75,1219.53,193,6.3188082902,1,,,,Cluster4,6.1558156852,HDI4
Hungary,821.755440476,6.370197213,1.0289663252,129,2200.55,350,6.2872857143,1,,,,,,
Iran,383.527722222,5.9004264957,1.2403161658,65,1104.91,185,5.9724864865,1,,,,,,
Jordan,2697.1861324,6.1439319645,1.1644224139,439,7452.88,1212,6.1492409241,1,,,,Cluster1,6.0586278537,HDI2
Kazakhstan,612.847194805,6.067794008,1.1585790646,101,1475.67,243,6.0727160494,1,,,,Cluster2,6.0914863683,HDI1
Kuwait,8905.89150968,6.171788988,1.1243852088,1443,22804.77,3716,6.1369133477,1,,,,Cluster3,6.098206528,HDI3
Latvia,2300.9263254,6.0871066809,1.0876382251,378,6270.36,1036,6.0524710425,1,,,,Cluster4,6.0470897172,HDI4
Lebanon,1785.46160856,6.1356069023,1.1111141462,291,5060.74,833,6.0753181273,1,,,,,,
Libya,843.478873016,5.9399920635,1.1763339335,142,2154.11,361,5.9670637119,1,,,,,,
Macedonia,221.333,6.3238,1.2413085471,35,663.34,105,6.3175238095,1,,,,,,
Malaysia,69597.773634,6.0720444629,1.1959781635,11462,185962.52,30687,6.059977189,1,,,,,,
Mexico,36239.3164146,6.066172818,1.1287035977,5974,109549.41,18035,6.0742672581,1,,,,,,
Montenegro,516.600865079,5.8704643759,1.0443500001,88,1618.68,277,5.8436101083,1,,,,,,
Oman,2602.75540043,6.2118267313,1.0624169917,419,7388.81,1200,6.1573416667,1,,,,,,
Panama,3851.42192893,6.017846764,1.1909426587,640,11350.36,1882,6.0310095643,1,,,,,,
Peru,5692.78014885,6.0561490945,1.1080425933,940,16631.16,2752,6.0432994186,1,,,,,,
Portugal,22046.1405708,5.9295698146,1.2176138871,3718,58395.16,9825,5.9435277354,1,,,,,,
Romania,563.795246032,6.3347780453,1.0858105047,89,2072.78,324,6.3974691358,1,,,,,,
Russia,44332.7297761,5.9522999162,1.1872150159,7448,115860.11,19463,5.9528392334,1,,,,,,
Serbia,2074.68414591,5.9617360515,1.0311058237,348,6924.49,1159,5.9745383952,1,,,,,,
SriLanka,601.162452381,6.0116245238,1.1846488849,100,1430.52,242,5.9112396694,1,,,,,,
TrinidadandTobago,537.293412698,6.1056069625,1.1578109524,88,1842.75,298,6.1837248322,1,,,,,,
Turkey,121668.724196,6.0604066645,1.0042943103,20076,359447.45,59688,6.0221057834,1,,,,,,
Ukraine,8749.00823629,5.9883697716,1.2433189823,1461,22692.78,3779,6.0049695687,1,,,,,,
UnitedArabEmirates,6097.71663903,6.2540683477,1.0361338107,975,18144.45,2910,6.2352061856,1,,,,,,
Uruguay,15792.5227965,5.8318031006,1.2660042427,2708,41884.63,7144,5.8629101344,1,,,,,,
Venezuela,9140.99127165,6.0177691058,1.1495992087,1519,28208.79,4688,6.0172333618,1,,,,,,
Australia,10690.8128065,6.1618517617,0.9826186971,1735,35139.86,5711,6.1530134828,2,,,,,,
Austria,949.238265873,6.2041716724,0.9457885606,153,2862.45,466,6.1425965665,2,,,,,,
Belgium,5006.36778427,6.0463379037,1.147905884,828,14649.66,2417,6.0610922631,2,,,,,,
Brunei,277.080699134,6.2972886167,0.9282089806,44,850.47,136,6.2534558824,2,,,,,,
Canada,19766.506303,6.068930397,1.1044470281,3257,63945.55,10497,6.0917928932,2,,,,,,
Cyprus,105.7245,6.2190882353,0.8960076267,17,362.56,59,6.1450847458,2,,,,,,
Denmark,1010.23590693,6.0133089698,1.1426853173,168,3751.8,621,6.0415458937,2,,,,,,
Estonia,433.380857143,6.1039557344,1.0855669302,71,1286.77,208,6.1863942308,2,,,,,,
Finland,1736.37163925,6.0500753981,1.0718963089,287,5707.82,939,6.0786155485,2,,,,,,
France,65489.0257549,5.9309025317,1.160961491,11042,187956.57,31474,5.9718043464,2,,,,,,
Germany,8216.40621054,6.1917153056,1.0122355834,1327,24841.43,4031,6.1625973704,2,,,,,,
Greece,2276.04766911,6.2701037717,1.008462886,363,7141.43,1140,6.2644122807,2,,,,,,
HongKong,906.922164502,6.0867259363,1.0562531907,149,3395.52,560,6.0634285714,2,,,,,,
Iceland,150.925666667,5.2043333333,1.8200729049,29,416.76,76,5.4836842105,2,,,,,,
Ireland,7577.0887916,6.0713852497,1.1158934521,1248,23714.39,3907,6.0697184541,2,,,,,,
Israel,2017.00113889,5.8804697927,1.2544043735,343,5638.95,954,5.9108490566,2,,,,,,
Italy,24239.068615,6.1458084724,1.0870267418,3944,70095.63,11393,6.1525173352,2,,,,,,
Japan,134034.129026,6.1345658394,1.2464083201,21849,322702,52753,6.1172255606,2,,,,,,
Lithuania,208.379285714,6.3145238095,0.7743874166,33,615.04,97,6.3406185567,2,,,,,,
Luxembourg,162.070897436,6.002625831,1.1103095275,27,512.64,84,6.1028571429,2,,,,,,
Netherlands,12527.3883355,6.149920636,1.060822682,2037,35709.57,5822,6.1335571968,2,,,,,,
NewZealand,2510.66166486,6.245427027,0.9456046932,402,8218.73,1318,6.2357587253,2,,,,,,
Norway,1653.21810317,6.0336427123,1.0462266236,274,5209.18,864,6.0291435185,2,,,,,,
Poland,7350.11831818,6.0644540579,1.1185125393,1212,19590.58,3228,6.068952912,2,,,,,,
Qatar,2309.40728241,6.1420406447,1.1150899073,376,6944.87,1130,6.1459026549,2,,,,,,
SaudiArabia,53438.9039756,6.1544286509,1.1161328474,8683,160361.83,26146,6.1333217318,2,,,,,,
Singapore,8713.10758314,5.9966328859,1.2628113965,1453,23533.38,3902,6.0311071246,2,,,,,,
Slovenia,292.245190476,6.0884414683,0.9902058714,48,983.59,159,6.1861006289,2,,,,,,
Spain,88762.3969205,6.0084205592,1.1235883572,14773,272498.92,45230,6.0247384479,2,,,,,,
Sweden,7340.46763187,6.0167767474,1.0915880024,1220,23537.67,3925,5.9968585987,2,,,,,,
Switzerland,2233.56347009,6.1193519728,1.0941609304,365,6149.78,1002,6.13750499,2,,,,,,
UnitedKingdom,105667.303623,6.0728335416,1.0711023613,17400,345126.73,56752,6.0813139625,2,,,,,,
UnitedStates,546972.033193,6.0017120917,1.1186513212,91136,1711251.92,284191,6.0214852687,2,,,,,,
Algeria,1043.923,6.3268060606,1.0587193158,165,3317.56,533,6.224315197,3,,,,,,
Bolivia,360.009823954,5.9018003927,1.1811245315,61,1165.19,193,6.037253886,3,,,,,,
Botswana,832.35318759,5.8616421661,1.1335904887,142,2812.98,471,5.9723566879,3,,,,,,
China,2318.62445691,6.1829985518,0.9064822002,375,7552.49,1231,6.135247766,3,,,,,,
Colombia,43184.380576,6.0372403993,1.1265088222,7153,135193.92,22395,6.036790355,3,,,,,,
Egypt,12733.2934585,6.072147572,1.1159688422,2097,36007.36,5955,6.0465759866,3,,,,,,
ElSalvador,2063.83705403,6.1423721846,1.151062112,336,6092.43,998,6.1046392786,3,,,,,,
Guatemala,6454.1843995,6.0773864402,1.1499514143,1062,19984.51,3292,6.0706287971,3,,,,,,
Honduras,1845.64172958,6.0912268303,1.1713761639,303,5879.17,967,6.079803516,3,,,,,,
Iraq,2708.86654346,6.2850731867,1.1537137139,431,6909.44,1109,6.2303336339,3,,,,,,
Jamaica,1601.04688745,6.0416863677,1.1174976092,265,4528.76,746,6.0707238606,3,,,,,,
Maldives,138.014222222,6.0006183575,1.3206149823,23,392.68,65,6.0412307692,3,,,,,,
Mongolia,670.199642857,5.9309702908,1.1625466316,113,1866.41,311,6.001318328,3,,,,,,
Morocco,1363.08969444,6.1678266717,1.0156564301,221,4170.68,679,6.1423858616,3,,,,,,
Namibia,417.171016484,5.9595859498,1.0707582861,70,1496.08,248,6.0325806452,3,,,,,,
Nicaragua,2838.62704185,6.0525096841,1.1995838461,469,7945.77,1318,6.0286570561,3,,,,,,
Paraguay,11568.7138434,6.0097214771,1.1105214577,1925,33548.7,5617,5.9727078512,3,,,,,,
Philippines,107281.344095,6.2005169399,1.2022591634,17302,275414.9,44471,6.1931348519,3,,,,,,
SouthAfrica,12861.9490093,6.1218224699,1.0048063054,2101,43647.28,7144,6.1096416573,3,,,,,,
Thailand,61120.8631096,5.9168308915,1.1857467768,10330,183540.12,30879,5.9438492179,3,,,,,,
